stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
142501,60898,Rodolphe-Forget / Fernand-Forest,45.650651,-73.580196,2
142510,60899,Étienne-Brais / Résidence Rivière-des-Prairies,45.661031,-73.565058,2
142523,60900,Rodolphe-Forget / Fernand-Forest,45.650813,-73.580603,2
142549,60902,Rodolphe-Forget / No 12100,45.644959,-73.574519,2
142588,60906,Saint-Germain / Winnipeg,45.541131,-73.545302,2
142594,60907,Joliette / Charles-Wilson (Habitations Hochelaga),45.542572,-73.537301,2
142626,60910,Desjardins / Adam,45.549950,-73.536906,2
142631,60911,Desjardins / La Fontaine,45.550485,-73.538583,2
142640,60912,Pie-IX / No 2120,45.550882,-73.543415,2
142655,60913,Ontario / Pie-IX,45.550515,-73.541021,2
142665,60914,Ontario / Gennevilliers-Laliberté,45.553562,-73.539031,2
142694,60917,La Fontaine / Viau,45.558148,-73.533574,2
142700,60918,Aird / No 2600,45.558582,-73.546709,2
142714,60919,Pierre-De Coubertin / Leclaire,45.560344,-73.547181,2
142730,60921,Centre commercial Place Versailles face au Nickels,45.591415,-73.540527,2
142750,60923,Bennett / No 2600,45.557581,-73.546742,2
142760,60924,La Fontaine / No 4920,45.558113,-73.533598,2
142772,60925,Ontario / Gennevilliers-Laliberté,45.553708,-73.539104,2
142789,60926,Pie-IX / No 2120,45.550917,-73.543527,2
142798,60927,De La Salle / La Fontaine,45.551084,-73.538139,2
142803,60928,De La Salle / Guimond,45.550622,-73.536689,2
142825,60930,Ontario / Pie-IX,45.550565,-73.540973,2
142834,60931,Joliette / Charles-Wilson,45.542588,-73.537311,2
142841,60932,De Cadillac / Rodolphe-Mathieu,45.582309,-73.562919,2
142850,60933,Du Quesne / No 6400,45.582749,-73.562391,2
142860,60934,Pierre-De Coubertin / No 5900,45.573567,-73.539510,2
142909,60938,De Cadillac / Ontario,45.570407,-73.527121,2
142914,60939,Pierre-De Coubertin / de la Pépinière,45.575674,-73.538112,2
142926,60940,de la Pépinière / de Marseille,45.577209,-73.540932,2
142939,60941,de la Pépinière / stationnement,45.577740,-73.542534,2
142949,60942,Centre commercial Du Domaine,45.581428,-73.541433,2
142958,60943,Arcand / No 3100,45.584386,-73.538986,2
142964,60944,Pierre-De Coubertin / Émile-Legrand,45.584358,-73.532522,2
142971,60945,Paul-David / Cléophée-Têtu,45.591383,-73.534501,2
142989,60946,du Trianon / entrée Place Versailles,45.591415,-73.540527,2
142998,60947,Paul-David / Cléophée-Têtu,45.591232,-73.534379,2
143007,60948,Pierre-De Coubertin / Émile-Legrand,45.584721,-73.532480,2
143038,60951,Arcand / No 3100,45.584386,-73.538986,2
