SRIDU;F;M;total;mtmx;mtmy;lng;lat;superficie
4620225.00;54.81;46.91;101.72;293866.6;5044265;-73.63999703;45.53821424;0.65
4620226.00;107.05;84.03;191.08;294034.5;5044738.7;-73.63785702;45.54247951;0.25
4620227.00;48.83;67.7;116.53;294500;5044608;-73.63189432;45.54131068;0.12
4620228.00;79.5;164.99;244.49;294741.6;5044506;-73.62879791;45.540396;0.11
4620229.00;0;115.11;115.11;294719;5043834.6;-73.62907338;45.53435417;0.47
4620230.00;20.14;74.28;94.42;294986.9;5044392.9;-73.62565421;45.5393818;0.12
4620231.00;23.16;17.02;40.18;295201.1;5044291.6;-73.62291012;45.53847317;0.1
4620232.00;373.97;369.88;743.85;295450.3;5043925.3;-73.61971222;45.53518106;0.36
4620233.00;147.34;0;147.34;295634;5044458.5;-73.61737007;45.53998135;0.11
4620234.00;65.35;14.65;80;295632;5044614.6;-73.61739862;45.54138614;0.15
4620235.00;92.95;90.7;183.65;295153.9;5044828.6;-73.62352556;45.5433048;0.12
4620236.00;73.52;177.12;250.64;294936;5044935.4;-73.62631802;45.54426264;0.11
4620237.00;190.46;98.29;288.75;294329.5;5045066.1;-73.63408756;45.54542992;0.22
4620238.00;231.13;183.8;414.93;294474.8;5045246.3;-73.63223048;45.5470538;0.16
4620239.00;91.21;113.63;204.84;295050.6;5045344.2;-73.62485746;45.5479435;0.55
4620240.00;64.41;125.03;189.44;295362.3;5045779.2;-73.62087413;45.55186202;0.3
4620241.00;0;43.34;43.34;295656;5046030.4;-73.61711754;45.55412636;0.21
4620242.00;80.05;391.63;471.68;296331.4;5045650.1;-73.60846107;45.5507124;0.37
4620243.00;48.46;122.6;171.06;296045.1;5045351.2;-73.61212155;45.54801927;0.25
4620244.00;169.24;368.44;537.68;295930;5045090.8;-73.61359074;45.54567426;0.18
4620245.00;65.01;273.78;338.79;295766.7;5044817.8;-73.6156778;45.54321598;0.22
4620247.00;204.23;339.52;543.75;296196.8;5044702.4;-73.61016799;45.5421829;0.19
4620249.00;331.85;300.72;632.57;296288.4;5046051.1;-73.60901869;45.55431996;0.54
4620250.00;346.42;264.4;610.82;296495;5046360.4;-73.60637759;45.55710631;0.45
4620251.01;122.37;203.68;326.05;296726.2;5046653.3;-73.60342024;45.55974385;0.47
4620251.02;19.43;98.68;118.11;296906.2;5046803.8;-73.60111744;45.56110069;0.25
4620252.00;0;51.08;51.08;297408.2;5046903.8;-73.59468905;45.56200631;0.33
4620253.00;77.5;54.28;131.78;296836.8;5047197.1;-73.60201326;45.56463852;0.45
4620254.00;18.39;91.25;109.64;297374;5047555.3;-73.59513656;45.5678678;0.62
4620256.00;165.99;83.8;249.79;295469.4;5046798.2;-73.61952254;45.56103265;1.85
4620257.00;92.88;42.1;134.98;295962.7;5047752.5;-73.61322116;45.56962561;1.33
4620258.00;19.34;19.47;38.81;296324.7;5048481.6;-73.60859545;45.57619074;0.4
4620259.00;0;112.29;112.29;295351.3;5049058.2;-73.62107851;45.5813674;0.37
4620260.00;25.11;0;25.11;294589;5048699;-73.63084022;45.57812421;0.55
4620261.00;15.92;0;15.92;295170.3;5048401.7;-73.62338495;45.57545725;0.63
4620263.00;0;18.95;18.95;294016.9;5047833.2;-73.63815081;45.57032476;0.76
4620264.01;95.29;272.22;367.51;293549.4;5046522.2;-73.64411082;45.55852023;1.22
4620264.02;37.17;200.63;237.8;294695.8;5046041.9;-73.62941663;45.55421589;0.89
4620265.00;28.28;54.47;82.75;293462.6;5045589.9;-73.64520126;45.55013015;0.48
4620266.00;92.18;52.04;144.22;293306.8;5045203.7;-73.64718703;45.54665236;0.76
4620267.00;22.83;149.55;172.38;293099.7;5044462.1;-73.64982213;45.539976;1.1
4620268.01;30.95;102.9;133.85;291218.6;5044060.3;-73.67389797;45.5363257;0.58
4620268.03;79.05;58.39;137.44;292540.6;5043689.5;-73.65696077;45.53301377;1.3
4620269.00;40.78;80.15;120.93;291974.5;5044770.3;-73.664237;45.54272928;0.77
4620270.00;22.98;97.04;120.02;292522.7;5045684.6;-73.65724026;45.55096605;0.68
4620271.00;88.84;110.24;199.08;292838.6;5046475.5;-73.65321386;45.55808883;0.48
4620272.00;69.11;49.97;119.08;292951.7;5047096.4;-73.65178102;45.56367778;0.5
4620273.00;64.2;76.43;140.63;293318.1;5047733.1;-73.64710213;45.56941301;0.58
4620275.00;22.42;0;22.42;292951.9;5048791;-73.65181928;45.57892594;0.62
4620276.00;74.62;149.84;224.46;292543.7;5048462.1;-73.65704147;45.57595923;0.86
4620277.00;168.21;234.61;402.82;292293.9;5047431.3;-73.66021503;45.56667928;0.55
4620278.00;279.91;246.57;526.48;291948.7;5046759.2;-73.66462025;45.56062528;0.59
4620279.00;130.3;164.58;294.88;291598.5;5046017.4;-73.66908589;45.55394412;0.94
4620280.00;61.94;101.36;163.3;291495;5044975.1;-73.67038353;45.54456258;0.6
4620281.00;74.1;126.63;200.73;290710.1;5045200.3;-73.68044129;45.5465743;1.08
4620282.00;41.57;170.67;212.24;289958.4;5044729.4;-73.69005334;45.54232142;1.33
4620283.01;0;35.65;35.65;290058.4;5043706.3;-73.68874256;45.53311741;0.61
4620283.02;14.71;40.31;55.02;289507;5044084.1;-73.69581341;45.53650467;0.48
4620284.00;18.54;20.16;38.7;288853.7;5044509.4;-73.70419301;45.54031681;0.58
4620285.00;94.81;203.85;298.66;288283.7;5043705.7;-73.71146457;45.53307172;1.5
4620287.01;0;34.16;34.16;287856.2;5043212.6;-73.71692072;45.52862449;0.54
4620287.02;20.2;83.24;103.44;287066.2;5042973.4;-73.72702527;45.52645193;1.11
4620290.02;0;43.09;43.09;298843.8;5055054.4;-73.57639848;45.63536101;1.72
4620290.04;51.99;53.07;105.06;299338.1;5056547;-73.5700741;45.64879602;2.83
4620290.05;71.61;25.09;96.7;296682.6;5053614.2;-73.60409538;45.62238013;2.21
4620290.06;0;18;18;297905.5;5055440.4;-73.5884383;45.63882521;0.92
4620290.08;0;23.33;23.33;297806.1;5056249.3;-73.5897257;45.64610292;1.1
4620291.01;0;30;30;299833.1;5057766.7;-73.56373642;45.65977483;0.98
4620291.03;31.44;59.44;90.88;301849.7;5058662;-73.53786368;45.66784186;6.89
4620291.04;15.32;30;45.32;300950.9;5057483.6;-73.54939014;45.65723392;3.24
4620300.00;53.86;120.27;174.13;299949;5036364.3;-73.56203667;45.46718957;0.52
4620301.00;18.56;98.61;117.17;299450.2;5036802.2;-73.56842011;45.47112609;0.42
