idFeuillet;idPersonne;mtmx;mtmy;SRDOMI;nbPersLogi;facteurPersonne;facteurLogement;age;permis;statut;sexe;SRIDU
192561;192561 2;303147;5048846;4620009;4;25.71;24.17;36;2;1;2;4620009.00
192561;192561 3;303147;5048846;4620009;4;21.68;24.17;4;5;3;1;4620009.00
192561;192561 4;303147;5048846;4620009;4;26.38;24.17;10;5;3;2;4620009.00
192579;192579 1;297918;5042893;4620162;1;25.36;27.55;61;2;2;2;4620162.00
192583;192583 1;290908;5044464;4620282;2;27.6;28.72;37;1;7;2;4620282.00
192583;192583 2;290908;5044464;4620282;2;36;28.72;47;1;1;1;4620282.00
192595;192595 1;296962;5044886;4620209;1;33.43;28.18;47;1;5;1;4620209.00
192598;192598 1;298751;5043017;4620140;5;23.45;25.42;32;1;2;2;4620140.00
192598;192598 2;298751;5043017;4620140;5;28.41;25.42;33;1;1;1;4620140.00
192598;192598 3;298751;5043017;4620140;5;28.4;25.42;8;5;3;1;4620140.00
192598;192598 4;298751;5043017;4620140;5;24.61;25.42;5;5;3;2;4620140.00
192598;192598 5;298751;5043017;4620140;5;25.1;25.42;1;5;6;2;4620140.00
192617;192617 1;298137;5044088;4620176;1;23.15;27.55;55;1;1;2;4620176.00
192628;192628 1;299567;5048872;4620195.01;1;24.42;24.69;83;2;4;2;4620195.01
192631;192631 1;296580;5044299;4620212;1;31.74;35.8;30;1;1;2;4620212.00
192647;192647 1;301115;5045468;4620029;2;29.04;30.45;29;1;1;2;4620029.00
192647;192647 2;301115;5045468;4620029;2;47.23;30.45;23;1;1;1;4620029.00
192653;192653 1;291263;5035625;4620383.01;3;22.38;23.02;52;1;1;2;4620383.01
192653;192653 2;291263;5035625;4620383.01;3;21.65;23.02;17;2;3;1;4620383.01
192653;192653 3;291263;5035625;4620383.01;3;21.65;23.02;15;5;3;1;4620383.01
192699;192699 1;297557;5045108;4620205;4;22.8;23.05;70;2;4;2;4620205.00
192699;192699 2;297557;5045108;4620205;4;24.08;23.05;49;1;1;1;4620205.00
192699;192699 3;297557;5045108;4620205;4;19.21;23.05;18;2;3;1;4620205.00
192699;192699 4;297557;5045108;4620205;4;21.88;23.05;39;1;1;2;4620205.00
192705;192705 1;298325;5045314;4620180;2;17.17;19.94;55;1;1;2;4620180.00
192705;192705 2;298325;5045314;4620180;2;22.19;19.94;56;1;1;1;4620180.00
192706;192706 1;292428;5046865;4620278;4;29.15;26.39;45;1;1;2;4620278.00
192706;192706 2;292428;5046865;4620278;4;33.08;26.39;46;1;1;1;4620278.00
192706;192706 3;292428;5046865;4620278;4;18.55;26.39;19;1;3;1;4620278.00
192706;192706 4;292428;5046865;4620278;4;26.36;26.39;9;5;3;2;4620278.00
192715;192715 1;303446;5050413;4620006;1;22.51;28.63;67;1;4;2;4620006.00
192749;192749 1;298364;5041960;4620138;1;39.78;43.13;30;1;1;2;4620138.00
192775;192775 1;287265;5043784;4620287.01;5;23.47;26.39;32;1;7;2;4620287.01
192775;192775 2;287265;5043784;4620287.01;5;30.75;26.39;38;1;3;1;4620287.01
192775;192775 3;287265;5043784;4620287.01;5;29.76;26.39;11;5;3;1;4620287.01
192775;192775 4;287265;5043784;4620287.01;5;29.83;26.39;3;5;6;2;4620287.01
192775;192775 5;287265;5043784;4620287.01;5;28.33;26.39;1;5;6;1;4620287.01
192785;192785 1;296131;5036517;4620094.01;2;38.44;29.34;29;1;1;2;4620094.01
192785;192785 2;296131;5036517;4620094.01;2;33.88;29.34;30;1;1;1;4620094.01
192794;192794 1;295838;5041254;4620361;2;33.58;26.94;26;1;1;2;4620361.00
192794;192794 2;295838;5041254;4620361;2;32.66;26.94;29;2;1;1;4620361.00
192797;192797 1;297844;5038430;4620351;1;18.49;24.59;61;2;4;2;4620351.00
192809;192809 1;297255;5035297;4620093;1;21.47;25.18;51;1;1;2;4620093.00
192817;192817 1;295976;5042403;4620365;1;33.87;36.16;31;1;1;2;4620365.00
192826;192826 1;299658;5045550;4620187.02;1;23.28;27.03;58;2;1;2;4620187.02
192837;192837 1;298787;5047950;4620197;1;34.13;34.29;35;2;1;1;4620197.00
192849;192849 1;295475;5048930;4620259;2;16.77;18.86;60;1;4;2;4620259.00
192849;192849 2;295475;5048930;4620259;2;18.29;18.86;79;1;4;1;4620259.00
192851;192851 1;294639;5048094;4620262;4;24.04;24.84;39;2;3;2;4620262.00
192851;192851 2;294639;5048094;4620262;4;24.82;24.84;44;1;7;1;4620262.00
192851;192851 3;294639;5048094;4620262;4;23.14;24.84;2;5;6;1;4620262.00
192851;192851 4;294639;5048094;4620262;4;21.02;24.84;1;5;6;2;4620262.00
192890;192890 1;296606;5043475;4620216;4;29.7;29.57;61;1;4;1;4620216.00
192890;192890 2;296606;5043475;4620216;4;22.3;29.57;51;1;1;2;4620216.00
192890;192890 3;296606;5043475;4620216;4;26.1;29.57;19;2;2;1;4620216.00
192890;192890 4;296606;5043475;4620216;4;22.37;29.57;16;2;3;2;4620216.00
192897;192897 1;300711;5043647;4620037;2;21.83;26.33;33;1;1;1;4620037.00
192897;192897 2;300711;5043647;4620037;2;24.83;26.33;36;1;1;2;4620037.00
192908;192908 1;298141;5035882;4620086;1;24.14;25.18;58;1;4;1;4620086.00
192932;192932 1;293665;5046934;4620264.01;2;17.52;21.56;66;1;4;2;4620264.01
192932;192932 2;293665;5046934;4620264.01;2;22.2;21.56;72;1;4;1;4620264.01
192943;192943 1;302006;5050623;4620192;2;21.24;20.63;59;1;4;2;4620192.00
192943;192943 2;302006;5050623;4620192;2;20.45;20.63;58;1;4;1;4620192.00
192950;192950 1;296957;5037645;4620352;2;19.3;20.11;59;1;1;2;4620352.00
192950;192950 2;296957;5037645;4620352;2;16.42;20.11;61;1;1;1;4620352.00
192964;192964 1;300896;5046226;4620014.01;2;19.18;20.81;60;1;4;2;4620014.01
192964;192964 2;300896;5046226;4620014.01;2;15.93;20.81;64;1;4;1;4620014.01
192990;192990 1;294012;5038324;4620111;2;34.8;30.37;30;1;1;1;4620111.00
192990;192990 2;294012;5038324;4620111;2;29.88;30.37;30;1;1;2;4620111.00
193000;193000 1;295656;5039464;4620115.02;1;26.84;25.95;57;1;1;1;4620115.02
193002;193002 1;293404;5047453;4620273;4;23.09;26.39;50;1;2;1;4620273.00
193002;193002 2;293404;5047453;4620273;4;25.36;26.39;37;1;1;2;4620273.00
193002;193002 3;293404;5047453;4620273;4;29.76;26.39;14;5;3;1;4620273.00
193002;193002 4;293404;5047453;4620273;4;29.76;26.39;12;5;3;1;4620273.00
193012;193012 1;298020;5038437;4620350;2;27.5;20.11;55;1;1;1;4620350.00
193012;193012 2;298020;5038437;4620350;2;19.3;20.11;50;1;1;2;4620350.00
193030;193030 1;294986;5044771;4620236;3;29.55;27.2;27;1;1;2;4620236.00
193030;193030 2;294986;5044771;4620236;3;33.05;27.2;27;2;1;1;4620236.00
193030;193030 3;294986;5044771;4620236;3;27.29;27.2;4;5;6;2;4620236.00
193033;193033 1;302603;5047881;4620009;2;15.76;20.63;61;2;7;2;4620009.00
193033;193033 2;302603;5047881;4620009;2;18.83;20.63;61;1;1;1;4620009.00
193034;193034 1;286998;5042636;4620287.02;1;22.19;25.84;60;1;1;2;4620287.02
193065;193065 1;297730;5042632;4620171;1;35.64;35.12;85;2;4;2;4620171.00
193083;193083 1;292064;5045688;4620270;1;22.61;25.84;54;1;1;1;4620270.00
193084;193084 1;303831;5051494;4620001;2;33.38;28.95;42;2;7;2;4620001.00
193084;193084 2;303831;5051494;4620001;2;46.36;28.95;20;2;7;1;4620001.00
193117;193117 1;303492;5052212;4620002;1;33.49;34.08;35;1;1;1;4620002.00
