idFeuillet,lng,lat,SRIDU,mtmx,mtmy,popLogi,facteurLogement,popPonderee
13808,-73.6025851425,45.5215172232,4620165.00,296786,5042405,1,27.55,27.6
13826,-73.6085150794,45.5364940624,4620214.00,296325,5044070,1,28.18,28.2
13827,-73.5428206651,45.5749965126,4620013.00,301458,5048344,3,25.48,76.4
13831,-73.6416147136,45.4858327254,4620111.00,293730,5038444,2,30.37,60.7
13851,-73.6270415691,45.4848060415,4620109.00,294869,5038328,3,27.01,81.0
13867,-73.6104834207,45.4823756753,4620354.00,296163,5038056,3,21.46,64.4
13873,-73.6497500427,45.5579085403,4620271.00,293109,5046455,2,28.72,57.4
13876,-73.6028098084,45.4761738966,4620352.00,296762,5037366,3,22.91,68.7
13877,-73.5504666845,45.5284089155,4620038.00,300858,5043167,1,26.2,26.2
13895,-73.5319296126,45.5522072947,4620018.00,302307,5045811,2,20.81,41.6
13905,-73.5138301006,45.5953488579,4620006.00,303721,5050605,1,25.82,25.8
13908,-73.5904467538,45.5434295454,4620208.00,297737,5044839,2,25.66,51.3
13943,-73.6758458009,45.5468123752,4620281.00,291069,5045226,2,28.72,57.4
13950,-73.6173105626,45.5052339172,4620126.00,295633,5040597,2,19.64,39.3
13956,-73.7051184574,45.528388879,4620286.00,288778,5043184,5,26.39,132.0
13959,-73.557679667,45.5335795732,4620035.00,300295,5043742,3,29.95,89.9
13997,-73.5642311915,45.5751664471,4620195.01,299787,5048364,1,34.29,34.3
13998,-73.536490483,45.5740448884,4620013.00,301952,5048238,3,15.29,45.9
14012,-73.6156622645,45.5439466997,4620245.00,295768,5044899,2,29.66,59.3
14046,-73.6366905571,45.5179811247,4620400.00,294121,5042016,2,26.04,52.1
14074,-73.5601493318,45.5922834409,4620195.03,300107,5050266,2,22.88,45.8
14087,-73.6265639766,45.5285839085,4620220.00,294914,5043193,2,23.09,46.2
14091,-73.57614685,45.527476848,4620146.00,298852,5043065,1,35.12,35.1
14093,-73.6237562742,45.4800404626,4620110.00,295125,5037798,1,27.57,27.6
14106,-73.6878979383,45.5394955109,4620282.00,290126,5044415,3,30.68,92.0
14108,-73.6576906798,45.5758855165,4620276.00,292493,5048454,4,26.39,105.6
14114,-73.74015748,45.5221656852,4620288.00,286039,5042500,4,26.39,105.6
14122,-73.5684205119,45.5325298325,4620148.00,299456,5043626,2,29.77,59.5
14125,-73.6396427449,45.4954185027,4620118.00,293886,5039509,7,33.23,232.6
14127,-73.5463457775,45.5301563492,4620039.00,301180,5043361,2,20.81,41.6
14130,-73.5912443917,45.4744200194,4620082.00,297666,5037170,1,35.59,35.6
14150,-73.6459394678,45.5505258268,4620265.00,293405,5045634,5,26.39,132.0
14154,-73.5382173902,45.5510175815,4620019.00,301816,5045679,2,20.81,41.6
